,Accuratelongballs,Appearances,Assists,Catches,Cleansheets,Club,Errorsleadingtogoal,Fouls,GoalKicks,Goals,Goalsconceded,HighClaims,Name,Owngoals,Passes,Passespermatch,Penaltiessaved,Punches,Redcards,Saves,Sweeperclearances,Throwouts,Yellowcards
17,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
18,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
19,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
31,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
32,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
33,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
34,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
35,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
36,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
37,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
38,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
39,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
40,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
41,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
42,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
43,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
44,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
45,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
46,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
77,746,69,2,9,14,Everton,5,0,527,0,112,49,Jonas Lössl,1,"2,290",33.19,3,43,0,191,34,200,2
78,746,69,2,9,14,Everton,5,0,527,0,112,49,Jonas Lössl,1,"2,290",33.19,3,43,0,191,34,200,2
79,746,69,2,9,14,Everton,5,0,527,0,112,49,Jonas Lössl,1,"2,290",33.19,3,43,0,191,34,200,2
80,746,69,2,9,14,Everton,5,0,527,0,112,49,Jonas Lössl,1,"2,290",33.19,3,43,0,191,34,200,2
81,746,69,2,9,14,Everton,5,0,527,0,112,49,Jonas Lössl,1,"2,290",33.19,3,43,0,191,34,200,2
82,746,69,2,9,14,Everton,5,0,527,0,112,49,Jonas Lössl,1,"2,290",33.19,3,43,0,191,34,200,2
83,746,69,2,9,14,Everton,5,0,527,0,112,49,Jonas Lössl,1,"2,290",33.19,3,43,0,191,34,200,2
84,746,69,2,9,14,Everton,5,0,527,0,112,49,Jonas Lössl,1,"2,290",33.19,3,43,0,191,34,200,2
85,202,28,0,11,6,Leicester City,1,0,269,0,47,20,Eldin Jakupovic,0,770,27.5,2,15,0,94,19,110,0
86,202,28,0,11,6,Leicester City,1,0,269,0,47,20,Eldin Jakupovic,0,770,27.5,2,15,0,94,19,110,0
87,202,28,0,11,6,Leicester City,1,0,269,0,47,20,Eldin Jakupovic,0,770,27.5,2,15,0,94,19,110,0
88,202,28,0,11,6,Leicester City,1,0,269,0,47,20,Eldin Jakupovic,0,770,27.5,2,15,0,94,19,110,0
89,202,28,0,11,6,Leicester City,1,0,269,0,47,20,Eldin Jakupovic,0,770,27.5,2,15,0,94,19,110,0
90,202,28,0,11,6,Leicester City,1,0,269,0,47,20,Eldin Jakupovic,0,770,27.5,2,15,0,94,19,110,0
91,202,28,0,11,6,Leicester City,1,0,269,0,47,20,Eldin Jakupovic,0,770,27.5,2,15,0,94,19,110,0
92,202,28,0,11,6,Leicester City,1,0,269,0,47,20,Eldin Jakupovic,0,770,27.5,2,15,0,94,19,110,0
93,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
94,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
95,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
96,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
97,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
98,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
99,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
100,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
101,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
102,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
103,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
104,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
105,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
106,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
107,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
108,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
109,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
110,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
111,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
112,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
113,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
114,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
115,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
116,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
117,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
118,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
119,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
120,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
121,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
122,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
123,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
124,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
125,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
126,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
127,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
128,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
129,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
130,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
131,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
132,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
133,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
134,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
135,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
136,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
137,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
138,0,0,0,0,0,Norwich City,0,0,0,0,0,0,Archie Mair,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,Norwich City,0,0,0,0,0,0,Archie Mair,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,Norwich City,0,0,0,0,0,0,Archie Mair,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,Norwich City,0,0,0,0,0,0,Archie Mair,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,Norwich City,0,0,0,0,0,0,Archie Mair,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,Norwich City,0,0,0,0,0,0,Archie Mair,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,Norwich City,0,0,0,0,0,0,Archie Mair,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,Norwich City,0,0,0,0,0,0,Archie Mair,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,Michael Verrips,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,Michael Verrips,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,Michael Verrips,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,Michael Verrips,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,Michael Verrips,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,Michael Verrips,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,Michael Verrips,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,Michael Verrips,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,Michael Verrips,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,Southampton,0,0,0,0,0,0,Harry Lewis,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,Brandon Austin,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,Brandon Austin,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,Brandon Austin,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,Brandon Austin,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,Brandon Austin,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,Brandon Austin,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,Brandon Austin,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,Brandon Austin,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,Brandon Austin,0,0,0,0,0,0,0,0,0,0
175,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
176,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
177,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
178,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
179,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
180,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
181,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
182,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
183,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
184,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
185,"1,218",195,0,106,53,Watford,19,10,"1,787",0,258,308,Heurelho Gomes,1,"3,976",20.39,9,266,0,621,105,"1,166",12
186,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,West Ham United,0,0,0,0,0,0,David Martin,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0
